,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
159,160,Simple Ratio 675/705,SR675/705,675nm705nm,45,Automatic,More,"The Simple Ratio 675/705 is a spectral index calculated from the ratio of reflectance values in the near-infrared (NIR) and red (R) bands of Sentinel-2 imagery. Specifically, it is computed as (Band_675 - Band_705) / (Band_675 + Band_705), where Band_675 corresponds to the 675 nm wavelength and Band_705 to the 705 nm wavelength.

This index is commonly used to enhance the visibility of vegetation and to quantify its abundance and vigor. Higher values of SR675/705 indicate higher levels of chlorophyll content and photosynthetic activity, as the near-infrared band captures the strong reflectance of healthy vegetation, while the red band captures chlorophyll absorption. Thus, the ratio of these bands provides a measure of the relative greenness and biomass of the vegetation."
160,161,Simple Ratio 700,SR700,1700nm,15,Automatic,More,"The **Simple Ratio 700** (SR700) index is a vegetation index that uses the reflectance values of Sentinel-2 bands 4 (red) and 5 (near-infrared) to estimate vegetation density and health. It is calculated as the ratio of reflectance in band 5 to reflectance in band 4:

```
SR700 = (Band 5 reflectance) / (Band 4 reflectance)
```

SR700 values range from 0 to 1, with higher values indicating higher vegetation density and biomass. SR700 is particularly sensitive to changes in chlorophyll content, which makes it useful for monitoring vegetation growth and stress. It is also commonly used to estimate crop yields and map vegetation cover."
161,162,Simple Ratio 700/670,SR700/670,700nm670nm,54,Automatic,More,"The Simple Ratio 700/670 index is commonly used for robust vegetation monitoring. It takes the ratio of the spectral reflectance values in the near-infrared band (Band 7, centered at 700 nm) and the red band (Band 4, centered at 670 nm). This index enhances the contrast between vegetation and non-vegetation areas, making it particularly useful for vegetation mapping, crop health assessment, and deforestation monitoring. The higher the index value, the denser and healthier the vegetation."
162,163,Simple Ratio 710/670,SR710/670,710nm670nm,54,Automatic,More,"The Simple Ratio 710/670 index is a vegetation index that measures the ratio of reflectance in the near-infrared (NIR) band at 710 nm to the reflectance in the red (R) band at 670 nm. This index is commonly used to estimate chlorophyll content in vegetation, as it is sensitive to changes in chlorophyll absorption in the red and NIR bands. Higher values of the Simple Ratio 710/670 index indicate higher levels of chlorophyll and, therefore, greater photosynthetic activity."
163,164,Simple Ratio 735/710,SR735/710,735nm[700:710],65,Automatic,More,"Simple Ratio 735/710 is a spectral index designed to highlight vegetation. It uses the reflectance values from bands 5 and 6 of the Sentinel-2 satellite, centered around 735 nm and 710 nm, respectively. The ratio of these two bands enhances the contrast between vegetation and soil, making it useful for vegetation mapping, crop monitoring, and land use classification. Compared to other vegetation indices, Simple Ratio 735/710 is less sensitive to atmospheric conditions and has been shown to be particularly effective in arid and semi-arid regions."
164,165,Simple Ratio 774/677,SR774/677,774nm677nm,74,Automatic,More,"**Description of Simple Ratio 774/677**

The Simple Ratio 774/677 index is a spectral index derived from Sentinel-2 satellite imagery. It is calculated as the ratio between the reflectance values in the near-infrared (NIR) band (Band 8) and the red (R) band (Band 4).

This index is particularly sensitive to changes in vegetation cover and can be used to monitor vegetation health and productivity. High values of SR 774/677 indicate dense vegetation with high levels of chlorophyll and biomass. Conversely, low values indicate sparse vegetation or bare soil."
165,166,Simple Ratio 800/2170,SR800/2170,800nm2170nm,812,Automatic,More,"The Simple Ratio (SR) index is a widely used vegetation index that measures the relative abundance of vegetation in an area. Calculated as the ratio of reflectance in two specific spectral bands, typically the near-infrared (NIR) and red (RED) bands, it enhances the contrast between vegetation and other land cover types. In the case of SR800/2170, the index uses the reflectance values from Sentinel-2's NIR band at 800nm and the RED band at 2170nm. Higher values of SR800/2170 indicate denser or more vigorously growing vegetation, while lower values represent less vegetation or non-vegetated surfaces. This index is particularly useful for monitoring vegetation health, land-cover changes, and agricultural practices."
166,167,Simple Ratio 800/470 Pigment specific simple ratio C2,PSSRc2,800nm470nm,82,Automatic,More,"Simple Ratio 800/470 Pigment specific simple ratio C2 (PSSRC2) is a vegetation index derived from Sentinel-2 imagery. It utilizes the reflectance values in bands 8 (near-infrared, 800 nm) and 6 (visible red, 470 nm) to estimate the concentration of chlorophyll and carotenoids in vegetation. Higher values of PSSRC2 indicate greater photosynthetic activity and leaf greenness, making it a useful indicator for monitoring vegetation health and biomass."
167,168,Simple Ratio 800/500 Pigment specific simple ratio C1,PSSRc1,800nm500nm,82,Automatic,More,"The Simple Ratio 800/500 Pigment specific simple ratio C1 (PSSRc1) is an index that estimates the amount of photosynthetic pigments in vegetation. It is calculated using the reflectance values in the Sentinel-2 bands at 800 nm and 500 nm, which are located in the red and green parts of the spectrum, respectively. The index is sensitive to changes in chlorophyll content, and can be used to monitor vegetation health, biomass, and productivity. High values of PSSRc1 indicate high concentrations of photosynthetic pigments and healthy vegetation, while low values indicate low concentrations of photosynthetic pigments and stressed or unhealthy vegetation."
168,169,Simple Ratio 800/550,SR800/550,800nm550nm,83,Automatic,More,"The Simple Ratio (SR) index is a widely used vegetation index that measures the ratio of reflectance in two specific spectral bands. In the case of SR800/550, the index is calculated as the ratio of reflectance in the 800 nm (near-infrared) band to reflectance in the 550 nm (green) band.

The SR800/550 index is particularly sensitive to the presence of chlorophyll in vegetation, as chlorophyll strongly absorbs light in the blue and red wavelengths but reflects light in the near-infrared wavelengths. As a result, the index can be used to estimate the amount of vegetation cover and biomass in a given area. Higher values of SR800/550 indicate denser vegetation, while lower values indicate sparser vegetation or non-vegetated areas.

The SR800/550 index is a simple and robust vegetation index that is widely used in remote sensing applications. It is particularly useful for monitoring vegetation cover and biomass changes over time, as well as for identifying areas of high and low vegetation productivity."
169,170,Simple Ratio 800/650 Pigment specific simple ratio B1,PSSRb1,800nm650nm,84,Automatic,More,"PSSRb1 (Simple Ratio 800/650 Pigment specific simple ratio B1): This index is used to estimate the concentration of chlorophyll in vegetation. It is calculated by dividing the reflectance in the near-infrared band (800nm) by the reflectance in the red band (650nm). Chlorophyll absorbs light in the red band, so areas with high chlorophyll concentrations will have a low PSSRb1 value. Conversely, areas with low chlorophyll concentrations will have a high PSSRb1 value. This index is useful for identifying areas of high plant productivity and can be used to monitor changes in vegetation health over time."
170,171,Simple Ratio 800/670 Ratio Vegetation Index,RVI,800nm670nm,84,Automatic,More,"The Simple Ratio 800/670 Ratio Vegetation Index (RVI) is a vegetation index calculated using the ratio of the reflectance values of near-infrared (800 nm) and red (670 nm) bands in the electromagnetic spectrum. This vegetation index amplifies the contrast between vegetation and non-vegetation areas. RVI is widely utilized for assessing and monitoring vegetation vigor, biomass, and plant cover. By utilizing the contrast between the high reflectance of near-infrared by vegetation and relatively low reflectance of red, RVI effectively discriminates vegetation from non-vegetated areas. RVI is particularly useful in areas with sparse or low vegetation cover, making it valuable for environmental mapping and vegetation surveys."
171,172,Simple Ratio 800/675 Pigment specific simple ratio A1,PSSRa1,800nm675nm,84,Automatic,More,"The Simple Ratio 800/675 Pigment specific simple ratio A1 (PSSRa1) is a vegetation index that measures the abundance of chlorophyll in vegetation. It is calculated as the ratio of the reflectance in the near-infrared band (800 nm) to the reflectance in the red band (675 nm). Chlorophyll absorbs red light and reflects near-infrared light, so high values of PSSRa1 indicate high levels of chlorophyll and, therefore, high levels of vegetation. PSSRa1 is commonly used to monitor vegetation growth and health, as well as to estimate biomass and leaf area index."
172,173,Simple Ratio 800/680 Pigment Specific Simple Ratio (Cholophyll a) (PSSRa),SR800/680,800nm680nm,84,Automatic,More,"The Simple Ratio 800/680 Pigment Specific Simple Ratio (Cholophyll a) (PSSRa) is a vegetation index calculated using the reflectance values from Sentinel-2 bands 8 (800 nm) and 4 (680 nm). The index is designed to enhance the contrast between vegetation and other land cover types by isolating the red edge reflectance peak associated with chlorophyll absorption. PSSRa is sensitive to chlorophyll content and canopy structure and can be used for monitoring vegetation health, biomass estimation, and land cover classification."
173,174,Simple Ratio 801/550 NIR/Green,SR801/550,801nm550nm,83,Automatic,More,"The Simple Ratio index (SR801/550) is a widely used vegetation index derived from Sentinel-2 imagery. It is calculated as the ratio of the near-infrared (NIR) band (Band 8, 801 nm) to the green band (Band 5, 550 nm). This index is particularly sensitive to the amount of chlorophyll in vegetation and has been extensively employed in remote sensing applications to map and monitor vegetation cover, estimate leaf area index, and assess plant health. Higher values of SR801/550 indicate greater vegetation density and photosynthetic activity. It is often used in combination with other vegetation indices, such as the Normalized Difference Vegetation Index (NDVI), to enhance the discrimination of vegetation from bare soil and other land cover types."
174,175,Simple Ratio 801/670 NIR/Red,SR801/670,801nm670nm,84,Automatic,More,"The Simple Ratio (SR) vegetation index is a widely used remote sensing index that provides information about the presence and condition of vegetation. The SR801/670 index is calculated using the reflectance values in the near-infrared (NIR) and red bands of Sentinel-2 imagery. Specifically, it is calculated as the ratio of the reflectance in the NIR band (801 nm) to the reflectance in the red band (670 nm). Higher values of the SR801/670 index indicate denser and healthier vegetation, as the NIR band is sensitive to the amount of chlorophyll in the leaves, which is an indicator of photosynthetic activity. This index is commonly used in vegetation monitoring applications, such as mapping forest cover, assessing crop health, and detecting land cover changes related to vegetation dynamics."
175,176,Simple Ratio 810/560 Plant biochemical index,PBI,810nm560nm,83,Automatic,More,"The Plant Biochemical Index (PBI) is a ratio index derived from two Sentinel-2 bands, with a numerator band at 810 nm and a denominator band at 560 nm. This index is particularly sensitive to chlorophyll content in vegetation and is widely used to monitor plant health, biomass, and crop yield. Higher PBI values indicate higher chlorophyll concentrations, which is an indication of healthy and vigorous vegetation. PBI is commonly used in agricultural applications, forest monitoring, and ecosystem studies."
176,177,Simple Ratio 833/1649 MSIhyper,SR833/1649,833nm1649nm,811,Automatic,More,"The Simple Ratio 833/1649 MSIhyper index is derived from the spectral bands of Sentinel-2's Multispectral Instrument (MSI). It is calculated using the near-infrared bands centered around 833nm and 1649nm. The index is sensitive to changes in vegetation cover and can be used to monitor vegetation health and biomass. Higher values of the index indicate denser and healthier vegetation, while lower values indicate sparse or stressed vegetation. The index is particularly useful for monitoring agricultural crops and forests, as it can provide insights into crop health and yield estimation. It is also valuable for land cover classification and habitat mapping."
177,178,Simple Ratio 833/658,SR833/658,833nm658nm,84,Automatic,More,"The Simple Ratio (SR) 833/658 is a vegetation index that uses the reflectances measured by Sentinel-2 bands 8 (near-infrared, centered at 833 nm) and 5 (red, centered at 658 nm). It is calculated as (Band 8 - Band 5) / (Band 8 + Band 5). The SR 833/658 is sensitive to changes in vegetation canopy structure and density, and it can be used to monitor vegetation growth, health, and biomass. It is particularly useful for detecting changes in vegetation cover in areas with low vegetation density, such as grasslands and shrublands."
178,179,Simple Ratio 850/710 Datt2,Datt2,850nm710nm,85,Automatic,More,"Datt2 (Simple Ratio 850/710) is a spectral index that estimates aerosol optical depth and atmospheric correction of satellite imagery. It uses the ratio between the reflectance values in the 850 nm (near-infrared) and 710 nm (red) bands of the Sentinel-2 satellite. Higher Datt2 values indicate higher aerosol optical depth, which corresponds to increased amounts of aerosols or haze in the atmosphere. This index is commonly employed in remote sensing applications for atmospheric correction and improving the accuracy of land surface retrievals."
179,180,Simple Ratio 860/550,SR860/550,860nm550nm,8a3,Automatic,More,"The Simple Ratio 860/550 is a vegetative index suitable for monitoring vegetation health and biomass. It utilizes the spectral reflectance at wavelengths 860 nm (near-infrared) and 550 nm (green). The index calculates the ratio of these two bands, enhancing the contrast between vegetated areas and non-vegetated areas. Values for the Simple Ratio 860/550 typically range from 0 to 1, with higher values indicating denser and healthier vegetation. It is particularly useful for detecting vegetation stress, monitoring changes in plant cover, and assessing crop yields."
180,181,Simple Ratio 860/708,SR860/708,860nm708nm,8a5,Automatic,More,"The Simple Ratio (SR) index is a widely used vegetation index that measures the ratio of reflectance values between two specific wavelength bands. The SR860/708 index calculates the ratio between the reflectance values in the near-infrared band (860 nm) and the red band (708 nm). This index is particularly sensitive to chlorophyll content and biomass, making it a valuable tool for monitoring vegetation health and productivity. Higher SR860/708 values indicate increased vegetation density and vigor, while lower values may indicate stress or less vegetation cover. The SR860/708 index is commonly employed in remote sensing applications, such as land cover classification, crop yield estimation, and vegetation change detection."
181,182,Simple Ratio MIR/NIR Ratio Drought Index,RDI,MIRNIR,129,Automatic,More,"The Simple Ratio MIR/NIR Ratio Drought Index (RDI) quantifies vegetation water content and monitors drought conditions. It employs the ratio between the Middle Infrared (MIR) and Near Infrared (NIR) bands. MIR is sensitive to plant water content, while NIR is primarily influenced by vegetation density. Higher RDI values indicate increased vegetation water content, associated with healthy vegetation and favorable moisture conditions. Conversely, lower RDI values reflect reduced plant water content, potentially due to water stress or drought. RDI is particularly valuable for drought monitoring in semi-arid and arid regions, where vegetation water status is crucial for ecosystem functioning."
182,183,Simple Ratio MIR/Red Eisenhydroxid-Index,SRMIR/Red,MIRRED,125,Automatic,More,"The Simple Ratio MIR/Red Eisenhydroxid-Index (SRMIR/Red) is a spectral index designed to enhance the detection of iron oxides (Fe2O3) in soil and vegetation. It is calculated as the ratio of the reflectance in the mid-infrared (MIR) and red bands. The MIR band (typically around 1600 nm) is sensitive to the absorption of Fe2O3, while the red band (typically around 665 nm) is less sensitive to Fe2O3. Therefore, a high SRMIR/Red value indicates a high concentration of Fe2O3. This index is commonly used in remote sensing applications for mapping soil erosion, identifying iron-rich minerals, and studying the distribution of iron oxides in vegetation."
183,184,Simple Ratio NIR/700-715,SRNir/700-715,NIR[700:715],95,Automatic,More,"The Simple Ratio (SR) index for Sentinel 2 is calculated using the ratio of reflectance values in the near-infrared (NIR) and red bands (700-715 nm). It enhances vegetation features by highlighting the contrast between NIR and red reflectance, where vegetation strongly reflects NIR and absorbs red light. Higher SR values indicate denser vegetation cover, while lower values represent non-vegetated areas or vegetation with reduced photosynthetic activity. This index is commonly used in vegetation monitoring, biomass estimation, and land cover classification."
184,185,Simple Ratio NIR/G Green Ratio Vegetation Index,GRVI,NIRG,93,Automatic,More,"The Green Ratio Vegetation Index (GRVI) is a vegetation index that uses the near-infrared (NIR) and green bands of the Sentinel-2 satellite imagery to estimate the amount of green vegetation present in a given area. The GRVI is calculated using the following formula: GRVI = (NIR - Green) / (NIR + Green). The GRVI values can range from -1 to 1, with higher values indicating more green vegetation. The GRVI is particularly sensitive to changes in the amount of green vegetation, making it a useful tool for monitoring vegetation health and productivity."
185,186,Simple Ratio NIR/MIR,SRNIR/MIR,NIRMIR,912,Automatic,More,"Simple Ratio NIR/MIR (SRNIR/MIR) is a vegetation index calculated using the ratio of reflectance in the near-infrared (NIR) and mid-infrared (MIR) bands. The index measures the relative abundance of vegetation compared to other land surface features. Higher SRNIR/MIR values indicate a greater presence of vegetation, as NIR reflectance is strongly influenced by chlorophyll absorption and MIR reflectance is related to leaf water content. This index can be used to monitor vegetation growth, phenology, and canopy density."
186,187,"Simple Ratio NIR/RED Difference Vegetation Index, Vegetation Index Number (VIN)",DVI,NIRRED,95,Automatic,More,"The Simple Ratio NIR/RED Difference Vegetation Index (DVI), also known as the Vegetation Index Number (VIN), is a vegetation index that measures the difference between the near-infrared (NIR) and red bands of the electromagnetic spectrum. The NIR band is sensitive to the amount of vegetation present, while the red band is sensitive to the amount of chlorophyll in the vegetation. By taking the difference between these two bands, the DVI index is able to measure the amount of vegetation present and its vigour. The DVI index is a simple and effective vegetation index that is widely used in remote sensing applications. It is particularly useful for monitoring changes in vegetation cover over time, as it is not affected by changes in atmospheric conditions or soil moisture."
187,188,Simple Ratio NIR/Rededge RedEdge Ratio Index 1,RRI1,NIRrededge,95,Automatic,More,"The Simple Ratio NIR/Rededge RedEdge Ratio Index 1 (RRI1) is a vegetation index calculated from Sentinel-2 satellite imagery. It uses the near-infrared (NIR) and red-edge bands to quantify the amount of vegetation present in an area. The NIR band is sensitive to the reflectance of vegetation, while the red-edge band is sensitive to the reflectance of chlorophyll. By combining these two bands, RRI1 provides an enhanced signal-to-noise ratio for vegetation detection. It is commonly used for monitoring vegetation health, biomass estimation, and land cover classification."
188,189,Simple Ratio Red/Blue Iron Oxide,IO,REDBLUE,51,Automatic,More,"The Simple Ratio Red/Blue Iron Oxide (IO) index is a Sentinel 2 spectral index specifically designed to enhance the presence of iron oxides in the observed surface. It is calculated as the ratio between the reflectance in the red spectral band and the reflectance in the blue spectral band. Higher IO values indicate a stronger presence of iron oxides in the observed surface, which can be useful for identifying geological features, mineral exploration, and soil mapping."
189,190,Simple Ratio Red/Green Red-Green Ratio,RGR,REDGREEN,53,Automatic,More,"The Simple Ratio Red/Green (RGR) index measures the ratio of the red and green bands of the Sentinel-2 imagery. This ratio is sensitive to changes in vegetation cover, as green wavelengths are strongly absorbed by chlorophyll in healthy vegetation, while red wavelengths are more reflective. Therefore, a higher RGR value indicates a greater abundance of vegetation. RGR is commonly used to monitor vegetation health, land cover change, and biomass estimation. It is a simple and computationally efficient index that can be derived from widely available Sentinel-2 imagery, making it a valuable tool for large-scale vegetation monitoring and assessment."
190,191,Simple Ratio Red/NIR Ratio Vegetation-Index,SRRed/NIR,REDNIR,59,Automatic,More,"The Simple Ratio Red/NIR (SRRed/NIR) is a vegetation index derived from the Sentinel-2 satellite imagery. It is computed as the ratio of the reflectance values in the red and near-infrared (NIR) bands. SRRed/NIR is sensitive to changes in vegetation density and chlorophyll content, and is commonly used to monitor vegetation health and biomass. Higher SRRed/NIR values indicate healthier and more vigorous vegetation, while lower values can indicate stress or senescence. This index is useful for assessing vegetation cover, monitoring crop health, and detecting changes in vegetation phenology."
191,192,Simple Ratio SWIRI/NIR Ferrous Minerals,SRSWIRI/NIR,SWIRINIR,SWIRI9,Automatic,More,"Simple Ratio SWIRI/NIR Ferrous Minerals index is a remote sensing index designed to enhance the detection of ferrous minerals, such as magnetite and hematite, in geological settings. It utilizes the ratio between short-wave infrared (SWIR) and near-infrared (NIR) bands to highlight the spectral contrast between ferrous minerals and their surrounding materials. Ferrous minerals exhibit strong absorption in the SWIR region due to electronic transitions within their crystal structure, while they reflect more energy in the NIR region. By calculating the ratio of these two bands, the index effectively amplifies the spectral signature of ferrous minerals, making them more distinct from other surface materials. This index is particularly useful for geological mapping, mineral exploration, and understanding the distribution of ferrous minerals in various geological environments."
192,193,Single Band 1580,SB1580,1580nm,11,Automatic,More,"Single Band 1580 (SB1580) is an index derived from a single spectral band at 1580 nm in the Sentinel-2 imagery. This band is situated within the shortwave infrared (SWIR) region of the electromagnetic spectrum and is sensitive to moisture content, vegetation water content, and leaf area index. The SB1580 index is often used to monitor water stress in vegetation, as it can detect changes in plant water content and canopy structure. Higher SB1580 values indicate increased water stress, while lower values indicate less water stress."
193,194,Single Band 2100,SB2100,2100nm,12,Automatic,More,Single Band 2100 (SB2100) is a spectral index calculated from the Sentinel-2 band at 2100 nm. It provides information about the amount of water vapor in the atmosphere. Higher SB2100 values indicate higher water vapor content. SB2100 is commonly used for atmospheric correction and cloud detection.
194,195,Single Band 2130,SB2130,2130nm,12,Automatic,More,"Single Band 2130 (SB2130) is a spectral index derived from the Sentinel-2 satellite imagery, specifically from the 2130 nm band. It is a narrowband index that measures the reflectance in the near-infrared region of the electromagnetic spectrum. The SB2130 index is sensitive to vegetation water content and canopy structure, making it useful for monitoring vegetation health, estimating leaf area index, and detecting changes in vegetation cover. Higher values of SB2130 indicate higher vegetation water content and denser canopy cover."
195,196,Single Band 2180,SB2180,2180nm,12,Automatic,More,"Single Band 2180 is a spectral index derived from the Sentinel-2 satellite imagery. It is calculated using a single band at 2180 nanometers (nm), which is located in the near-infrared (NIR) part of the electromagnetic spectrum. The SB2180 index is sensitive to changes in vegetation water content, and it can be used to monitor vegetation health and stress. Higher values of SB2180 indicate higher water content in vegetation, while lower values indicate lower water content. This index is particularly useful for monitoring vegetation in water-stressed environments, such as drought-affected areas."
196,197,Single Band 2218,SB2218,2218nm,12,Automatic,More,"Single Band 2218 (SB2218) index is derived from Sentinel 2's Band 5. Its purpose is to provide information about vegetation health and biomass. SB2218 is closely correlated with the Normalized Difference Vegetation Index (NDVI), an established vegetation index calculated using near-infrared and red bands. However, SB2218 offers the advantage of being computed using a single band, making it less susceptible to atmospheric effects and noise. Higher SB2218 values indicate healthier vegetation with greater photosynthetic activity and denser canopy cover, while lower values may suggest vegetation stress or sparse cover. This index is widely used in precision agriculture, forest monitoring, and assessing the impact of environmental factors on vegetation health."
197,198,Single Band 2240,SB2240,2240nm,12,Automatic,More,"Single Band 2240 (SB2240) is a spectral index derived from the Band 12 (2,190 nm) of the Sentinel-2 satellite. This index measures the amount of water absorption in the vegetation. Higher values of SB2240 indicate higher water content in the vegetation, while lower values indicate less water content. SB2240 is particularly useful for monitoring vegetation water stress, drought conditions, and crop health."
198,199,Single Band 2250,SB2250,2250nm,12,Automatic,More,"Single Band 2250 (SB2250): This spectral band measures the amount of reflected energy at a wavelength of 2250 nanometers (nm) in the near-infrared part of the electromagnetic spectrum. It is sensitive to chlorophyll content and plant water content, making it useful for vegetation analysis and monitoring."
199,200,Single Band 2270,SB2270,2270nm,12,Automatic,More,"The Single Band 2270 (SB2270) index is derived from a single spectral band at a wavelength of 2270 nanometers. This band is located in the near-infrared region of the electromagnetic spectrum and is sensitive to the presence of chlorophyll in vegetation. High values of SB2270 indicate high levels of chlorophyll and, therefore, healthy vegetation. Low values of SB2270 indicate low levels of chlorophyll and, therefore, stressed or non-vegetated areas."
200,201,Single Band 2280,SB2280,2280nm,12,Automatic,More,"Single Band 2280 (SB2280) is a spectral index derived from the Sentinel-2 satellite imagery. It utilizes a single band at the center wavelength of 2280 nanometers (nm) in the near-infrared (NIR) region of the electromagnetic spectrum. SB2280 is particularly sensitive to vegetation health and biomass, providing valuable insights into plant growth, photosynthetic activity, and canopy cover. It is commonly used to monitor vegetation dynamics, assess agricultural productivity, and support forest management applications. The higher the SB2280 values, the greater the vegetation cover and photosynthetic capacity, indicating healthy and vigorous plant growth."
201,202,Single Band 460,SB460,460nm,2,Automatic,More,"**Description for SB460 (Single Band 460)**

The Single Band 460 (SB460) index represents the reflectance values measured by the Sentinel-2 satellite's Coastal Aerosol Band (Band 1) at a central wavelength of 460 nanometers (nm). This band is specifically designed to detect atmospheric aerosols, such as smoke and dust, and to estimate their concentration and optical properties.

SB460 provides information about the presence and abundance of aerosols in the atmosphere, which can influence the overall optical properties of the Earth's surface. It is commonly used in atmospheric correction techniques to remove aerosol effects from satellite imagery, ensuring more accurate estimates of surface reflectance and vegetation properties. Additionally, SB460 can be utilized for monitoring air quality and studying aerosol transport and dynamics."
202,203,Single Band 470 Blackburn3,BB3,470nm,2,Automatic,More,"Single Band 470 Blackburn3 (BB3) index is derived from the blue band of Sentinel-2 imagery and is sensitive to changes in chlorophyll content, leaf area index, and canopy cover. It is calculated using the following formula:

BB3 = (Sentinel-2 Band 4 - Sentinel-2 Band 3) / (Sentinel-2 Band 4 + Sentinel-2 Band 3)

BB3 values range from -1 to 1, with higher values indicating higher chlorophyll content, leaf area index, and canopy cover. BB3 is useful for vegetation monitoring, forest health assessment, and land cover classification."
203,204,Single Band 495,SR495,495nm,2,Automatic,More,"The Single Band 495 (SR495) index is a spectral index derived from Sentinel 2 imagery. It measures the reflectance of a surface at a specific wavelength of 495 nanometers, which lies within the blue band of the electromagnetic spectrum. This index is commonly used in remote sensing applications for various purposes, including vegetation monitoring, water body mapping, and atmospheric correction. By analyzing the reflectance values at this specific wavelength, researchers can extract information about the presence and characteristics of vegetation, water bodies, and other surface features."
204,205,Single Band 550,SB550,550nm,3,Automatic,More,"Single Band 550 (SB550) is a spectral index calculated using a single band of the Sentinel-2 satellite imagery at 550 nanometers (nm). This band corresponds to the green portion of the electromagnetic spectrum and provides information about the vegetation's greenness and chlorophyll content. Higher SB550 values generally indicate healthier vegetation with higher chlorophyll concentration, while lower values may indicate stress or senescence. SB550 is particularly useful for monitoring vegetation health and phenological changes."
205,206,Single Band 555,SB555,555nm,3,Automatic,More,"Single Band 555 (SB555) is a spectral index derived from the Sentinel-2 satellite's imagery. It is calculated using the reflectance values from the satellite's band 5, which is centered at 555 nanometers and falls within the green portion of the electromagnetic spectrum. SB555 is commonly used for vegetation monitoring and is particularly sensitive to changes in chlorophyll content and leaf area index (LAI). Higher SB555 values indicate greater vegetation density and chlorophyll content, while lower values indicate less vegetation or lower chlorophyll levels."
206,207,Single Band 655,SB655,655nm,4,Automatic,More,"Single Band 655 (SB655) is a narrow spectral band centred at 655.1 nanometres (nm) in the red part of the electromagnetic spectrum. It is primarily used to detect vegetation red edge reflectance, which is sensitive to chlorophyll content and leaf area index. SB655 can be used to monitor vegetation health, stress, and phenology. High values of SB655 indicate healthy vegetation with high chlorophyll content and leaf area index, while low values indicate stressed or senescent vegetation."
207,208,Single Band 660,SB660,660nm,4,Automatic,More,"Single Band 660 (SB660) is a spectral index derived from the Sentinel-2 satellite's RedEdge band at 660 nm. It is designed to enhance the detection of vegetation by isolating the chlorophyll absorption peak in this specific wavelength range. Higher SB660 values indicate higher chlorophyll content, which is often associated with healthy and vigorous vegetation. This index is particularly useful for monitoring vegetation health, crop stress assessment, and plant phenology studies."
208,209,Single Band 670,SB670,670nm,4,Automatic,More,"The Single Band 670 index (SB670) is a spectral index derived from the Sentinel-2 satellite imagery. It is calculated using the reflectance values of the band centered at 670 nanometers. This index is commonly used for vegetation studies, particularly for estimating chlorophyll content and leaf area index. Higher values of SB670 indicate higher levels of chlorophyll and leaf biomass, making it a valuable tool for monitoring vegetation health and productivity."
209,210,Single Band 675,SB675,675nm,4,Automatic,More,"Single Band 675 (SB675) is a spectral index derived from the Sentinel-2 satellite's band 6, centered at 675 nanometers (nm). This band primarily measures the amount of red light reflected by the Earth's surface, which is sensitive to the presence of chlorophyll and other pigments in vegetation. Higher SB675 values indicate denser and healthier vegetation, while lower values may indicate sparse vegetation, bare soil, or water bodies. It is commonly used in remote sensing applications for vegetation mapping, land cover classification, and crop monitoring."
210,211,Single Band 680 Blackburn1,BB1,680nm,4,Automatic,More,"**Description of the Single Band 680 Blackburn1 (BB1) Index:**

The BB1 index is a narrowband vegetative index calculated from the reflectance values acquired in the red edge portion of the electromagnetic spectrum. It is sensitive to changes in chlorophyll content and leaf area index, making it a valuable tool for monitoring vegetation health and biomass. The index is highly correlated with the fraction of absorbed photosynthetically active radiation (fAPAR), a key parameter for estimating gross primary productivity. BB1 is widely used in remote sensing applications such as crop monitoring, yield forecasting, and forest health assessment."
211,212,Single Band 700,SB700,700nm,5,Automatic,More,"The Single Band 700 (SB700) index is a spectral index derived from the Sentinel-2 satellite's Band 7 (red-edge band) at 700 nanometers. It measures the reflectance of vegetation in the red-edge region of the electromagnetic spectrum, which is sensitive to changes in chlorophyll content and leaf water content. High values of SB700 indicate healthy vegetation with high chlorophyll content and low water content, while low values indicate stressed or unhealthy vegetation. SB700 is commonly used for vegetation monitoring, crop stress detection, and land cover classification."
212,213,Single Band 703 Boochs,SB703,703nm,5,Automatic,More,"Single Band 703 Boochs (SB703) is an index derived from Sentinel-2 imagery that detects cyanobacteria blooms in water bodies. It utilizes the reflectance values from Band 7 (703 nm) of the Sentinel-2 satellite, which corresponds to the red edge of the electromagnetic spectrum. The index exploits the unique spectral signature of cyanobacteria, which have high reflectance in the red edge region due to the presence of phycocyanin pigments. By isolating the reflectance at 703 nm, SB703 enhances the detection of cyanobacteria blooms and their spatial distribution, providing valuable information for monitoring and managing water quality."
213,214,Single Band 705,SB705,705nm,5,Automatic,More,"Single Band 705 (SB705) is a vegetation index derived from Sentinel-2 imagery. It is calculated as the reflectance at 705 nm, which is highly sensitive to chlorophyll content and leaf area index. SB705 is commonly used to estimate vegetation biomass, leaf area index, and crop yield. It is particularly useful for monitoring agricultural areas and assessing plant health."
214,215,Single Band 735,SB735,735nm,6,Automatic,More,"Single Band 735 (SB735) is a spectral index derived from the Sentinel-2 satellite imagery. It is calculated using the reflectance values from the red-edge band (band 7) centered at 735 nanometers. SB735 is primarily used to enhance the visibility of vegetation and discriminate between different vegetation types. Higher values of SB735 indicate denser and healthier vegetation, while lower values correspond to sparse or stressed vegetation. This index is particularly useful for monitoring vegetation health, mapping plant communities, and studying vegetation dynamics over time."
